New Category,Category,Vendor ID,Vendor Legacy ID,Vendor Name,Category Status?
Wovens,Total Wovens,1001315,000307647,A FIRST CO LTD,Preferred
Wovens,Total Wovens,1001607,000301075,AITKEN SPENCE (GARMENTS) LTD,Preferred
Wovens,Total Wovens,1002131,000310925,Dalian Datong Gmt Co Ltd,Preferred
Wovens,Total Wovens,1002131,000310925,DALIAN YANGERTE GARMENT CO LTD,Preferred
Wovens,Total Wovens,1002131,000310925,DAYANG GROUP CO LTD,Preferred
Wovens,Total Wovens,1004880,000001204,MTL SOURCING DMCC,Preferred
Wovens,Total Wovens,1004880,000001204,EAM MALIBAN TEXTILES (PVT) LTD,Preferred
Wovens,Total Wovens,1006261,000000824,ESQUEL ENTERPRISES LTD,Preferred
Wovens,Total Wovens,1001264,000311217,FTN CO LTD,Preferred
Wovens,Total Wovens,1000189,000309076,HA HAE CORPORATION,Preferred
Wovens,Total Wovens,1002910,000302842,HANSAE CO LTD,Preferred
Wovens,Total Wovens,2021955,700042815,INDIAN DESIGNS EXPORTS PVT LTD.,Preferred
Wovens,Total Wovens,2012984,700033942,JIANGSU GUOTAI INT'L GROUP GUOHUA CORP LTD,Preferred
Wovens,Total Wovens,1005484,000003489,MAKALOT INDUSTRIAL CO LTD,Preferred
Wovens,Total Wovens,2038955,700063215,EAM MALIBAN TEXTILES JORDAN (PVT) LTD,Preferred
Wovens,Total Wovens,1005772,000305663,NOBLAND INTERNATIONAL INC,Preferred
Wovens,Total Wovens,1003989,000300717,PAN-PACIFIC CO LTD,Preferred
Wovens,Total Wovens,2010635,700031000,PT DAEHAN GLOBAL,Preferred
Wovens,Total Wovens,1005702,000303385,PT GISTEX GARMEN INDONESIA,Preferred
Wovens,Total Wovens,1006496,000306006,SANGWOO CO LTD,Preferred
Wovens,Total Wovens,2008837,700029301,WOOIN INDUSTRIES LTD,Preferred
Sweaters,Total Sweaters,1004894,000000817,CRYSTAL APPAREL LTD,Preferred
Sweaters,Total Sweaters,1004894,000000817,CRYSTAL SWEATER LTD,Preferred
Sweaters,Total Sweaters,1004894,000000817,ELEGANCE INDUSTRIAL CO LTD,Preferred
Sweaters,Total Sweaters,1004894,000000817,ZHONGSHAN YIDA APPAREL LTD,Preferred
Sweaters,Total Sweaters,1004894,000000817,JINGLI (JINTAN) APPAREL LTD,Preferred
Sweaters,Total Sweaters,1004894,000000817,YE JI INDUSTRIAL CO LTD OF DONGGUAN,Preferred
Sweaters,Total Sweaters,1002728,000000819,LITA LTD,Preferred
Sweaters,Total Sweaters,1002728,000000819,SUPER PERFORMANCE TEXTILE (SHENZHEN) CO LTD,Preferred
Sweaters,Total Sweaters,2011505,700032073,MASIHATA SWEATERS LIMITED,Preferred
Sweaters,Total Sweaters,1006210,000300760,NANAN NANFA WOOLEN KNITWEAR CO LTD,Preferred
Sweaters,Total Sweaters,1003999,000003412,SOUTH ASIA KNITTING FTY LTD,Preferred
Sweaters,Total Sweaters,1003999,000003412,NANYUAN KNITTING & GARMENTS CO LTD TAIHE,Preferred
Sweaters,Total Sweaters,1003999,000003412,NANAN NANFENG TEXTILES CO LTD,Preferred
Sweaters,Total Sweaters,1003999,000003412,NANJIANG KNITTING GARMENTS CO LTD HUIAN,Preferred
Sweaters,Total Sweaters,2007852,700028421,SHISHENG HONGKONG TRADING CO LTD,Preferred
Sweaters,Total Sweaters,2007852,700028421,SUZHOU INDUSTRIAL PARK ZHENGDA KNITTING CO LTD,Preferred
Sweaters,Total Sweaters,1006210,000300760,SOUTH ASIA ENTERPRISES LTD,Preferred
Knits,Total Knits,1002910,000302842,HANSAE CO LTD,Preferred
Knits,Total Knits,1000793,000309643,HANSOLL TEXTILE LTD.,Preferred
Knits,Total Knits,1000875,000300135,KANMAX ENTERPRISES LTD,Preferred
Knits,Total Knits,1005484,000003489,MAKALOT INDUSTRIAL CO LTD,Preferred
Knits,Total Knits,1005772,000305663,NOBLAND INTERNATIONAL INC,Preferred
Knits,Total Knits,1002249,000002895,"SAE-A TRADING CO., LTD",Preferred
Knits,Total Knits,1001722,000002910,SHINWON CORPORATION,Preferred
Knits,Total Knits,1002083,000002146,UNION CAPITAL INTERNATIONAL LTD,Preferred
Knits,Total Knits,1002083,000002146,JADE REGENT SYSTEM CORP,Preferred
Knits,Total Knits,1002083,000002146,UNITED UNIVERSAL PARTNERS LTD,Preferred
Knits,Total Knits,1002083,000002146,HONG HO PRECISION TEXTILE CO LTD,Preferred
Knits,Total Knits,1002083,000002146,UNITED INT'L CORP,Preferred
Knits,Total Knits,1004889,000300782,YAKJIN TRADING CORP,Preferred
IP,Total IP,1000846,000303065,CLOVER GROUP INTERNATIONAL LIMITED,Preferred
IP,Total IP,1001724,000305922,ECLAT TEXTILE CO LTD,Preferred
IP,Total IP,2027385,700049425,FOOK WAH KUN KEE KNITTING FACTORY LTD,Preferred
IP,Total IP,1002910,000302842,HANSAE CO LTD,Preferred
IP,Total IP,1000793,000309643,HANSOLL TEXTILE LTD.,Preferred
IP,Total IP,1005484,000003489,MAKALOT INDUSTRIAL CO LTD,Preferred
IP,Total IP,1002391,000307496,MAS INTIMATES (PVT) LTD,Preferred
IP,Total IP,2031580,700054455,MERIDIAN LIMITED,Preferred
IP,Total IP,2005854,700026462,POONG IN TRADING CO LTD,Preferred
IP,Total IP,1002249,000002895,"SAE-A TRADING CO., LTD",Preferred
IP,Total IP,1000785,000309706,SEYANG CORPORATION,Preferred
IP,Total IP,1005825,000303198,THE WILLBES DOMINICANA INC.,Preferred
IP,Total IP,1005825,000303198,THE WILLBES & CO LTD,Preferred
IP,Total IP,1004767,000303445,WINWAVE CORP,Preferred
IP,Total IP,1004889,000300782,YAKJIN TRADING CORP,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2033495,700056840,STERLING STYLES LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1003832,000306830,AMBATTUR CLOTHING INTERNATIONAL WLL,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1000105,000001386,AMBATTUR CLOTHING INTERNATIONAL WLL,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2006755,700027477,ANANTA APPARELS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2006755,700027477,DNV Clothing Ltd.,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2006755,700027477,700056835 ANANTA APPARELS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1001197,000306563,ANANTA GARMENTS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002864,000306777,DENIMACH LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002864,000306777,ARMANA APPARELS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1002864,000306777,ZYTA APPARELS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1005311,000307084,Artistic Fabric & Garment Industries (Pvt) Ltd,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2007463,700028122,ARTISTIC MILLINERS (PVT) LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,2010795,700031159,BRANDIX ASIA LIMITED,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1006159,000308305,COLUMBIA APPARELS LTD.,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1006159,000308305,COLUMBIA GARMENTS LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,CRYSTAL APPAREL LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,CRYSTAL SWEATER LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,ELEGANCE INDUSTRIAL CO LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,ZHONGSHAN YIDA APPAREL LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,JINGLI (JINTAN) APPAREL LTD,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004894,000000817,YE JI INDUSTRIAL CO LTD OF DONGGUAN,Preferred
Denim and Woven Bottoms,Total Denim and Woven Bottoms,1004880,000001204,MTL SOURCING DMCC,Preferred
